wkt_geom,ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,_band___va,_band___pa
Point (439166.25 558630),Null,,,NZ39581605,J,C,34200,,
Point (439163 558617),MH,,,NZ39581601,CH,C,34170,,
Point (439168.58100000000558794 558638.27700000000186265),Null,,,NZ39581636,J,C,34220,,
Point (439168 558605),MH,,,NZ39581619,CH,C,34070,,
Point (439180 558602),MH,,900,NZ39581620,CH,C,33880,,
Point (439179 558635),MH,,,NZ39581626,CH,C,34110,,
Point (439186 558601),MH,,,NZ39581621,CH,C,33830,,
Point (439183 558588),MH,,800,NZ39581502,CH,C,33810,,
Point (439162.08600000001024455 558356.6840000000083819),Null,,,NZ39581340,J,F,34000,,
Point (439159.54499999998370185 558354.5590000000083819),Null,,,NZ3958P113,RE,F,34000,,
Point (439162.79100000002654269 558355.62699999997857958),Null,,,NZ39581341,J,F,34000,,
Point (439162.09399999998277053 558378.07299999997485429),Null,,,NZ39581343,J,F,34000,,
Point (439164.59799999999813735 558379.79299999994691461),MH,,500,NZ3958P116,CH,F,34000,,
Point (439163.89500000001862645 558379.31000000005587935),Null,,,NZ3958AT27,ATC,F,34000,,
Point (439166.95199999999022111 558348.90899999998509884),MH,,750,NZ39581342,CH,S,34000,,
Point (439166.85700000001816079 558370.84299999999348074),Null,,,NZ39581344,J,F,34000,,
Point (439169.27299999998649582 558372.56099999998696148),MH,,660,NZ3958P115,CH,F,34000,,
Point (439168.606000000028871 558372.08600000001024455),Null,,,NZ3958AT28,ATC,F,34000,,
Point (439182.05999999999767169 558358.97800000000279397),MH,,1130,NZ3958P187,CH,F,34000,,
Point (439181 558349.5),MH,,2100,NZ39581310,CH,F,34000,,
Point (439185.67499999998835847 558352.45100000000093132),MH,,1780,NZ39581351,CH,S,34000,,
Point (439184.29899999999906868 558354.93500000005587935),Null,,,NZ3958AT35,ATC,F,34000,,
Point (439190.44300000002840534 558386.56000000005587935),Null,,,NZ3958AT21,ATC,S,33980,,
Point (439187.66600000002654269 558390.8090000000083819),Null,,,NZ3958P098,RE,S,33990,,
Point (439320 559622),MH,,,NZ39593604,CH,C,34260,,
Point (439318 559574.75),MH,,,NZ39593505,CH,C,36300,,
Point (439149.31500000000232831 558370.52199999999720603),Null,,,NZ3958P066,RE,F,34000,,
Point (439148.78499999997438863 558371.57900000002700835),Null,,,NZ3958P110,RE,F,34000,,
Point (439150 558394.5),MH,,,NZ39581312,CH,F,34000,,
Point (439149.31500000000232831 558377.39899999997578561),MH,,700,NZ39581335,CH,F,34000,,
Point (439152.82600000000093132 558371.58900000003632158),Null,,,NZ39581337,J,F,34000,,
Point (439152.12099999998463318 558372.73699999996460974),Null,,,NZ39581336,J,F,34000,,
Point (439153.72499999997671694 558363.28899999998975545),Null,,,NZ3958P067,RE,F,34000,,
Point (439153.34399999998277053 558372.44299999997019768),Null,,,NZ39581334,ZZZ,S,34000,,
Point (439154.25500000000465661 558362.58400000003166497),Null,,,NZ3958P068,RE,F,34000,,
Point (439154.25 558390),MH,,,NZ39581311,CH,F,34000,,
Point (439157.85300000000279397 558363.56400000001303852),Null,,,NZ39581339,J,F,34000,,
Point (439157.14799999998649582 558364.53399999998509884),Null,,,NZ39581338,J,F,34000,,
Point (439158.84000000002561137 558355.43900000001303852),Null,,,NZ3958P065,RE,F,34000,,
Point (439158.25 558401),MH,,,NZ39581402,CH,C,34000,,
Point (439200.89100000000325963 558296.09199999994598329),MH,,1350,NZ39582223,CH,F,33040,,
Point (439200.25699999998323619 558295.23699999996460974),Null,,,NZ3958AT30,ATC,F,33040,,
Point (439181.71199999999953434 559655.45700000005308539),Null,,,NZ39591604,J,C,45610,,
Point (439171.25 559652.5),MH,,,NZ39591603,CH,C,46320,,
Point (439233.63000000000465661 559601.52199999999720603),Null,,,NZ39592606,CE,C,43470,,
Point (439195 559613),MH,,,NZ39591602,CH,C,46990,,
Point (439258.78399999998509884 559557.3090000000083819),Null,,,NZ39592504,CE,C,42920,,
Point (439246 559610.5),MH,,,NZ39592601,CH,C,40970,,
Point (439267 559650.25),MH,,,NZ39592604,CH,C,37220,,
Point (439266.15299999999115244 559531.19700000004377216),Null,,,NZ39592507,CE,C,42610,,
Point (439276 559568.5),MH,,,NZ39592501,CH,C,40550,,
Point (439271 559627.5),MH,,,NZ39592602,CH,C,38030,,
Point (439294 559662),MH,,,NZ39592605,CH,C,35230,,
Point (439279 559633),MH,,,NZ39592603,CH,C,37370,,
Point (439308 559590.25),MH,,,NZ39593506,CH,C,36470,,
Point (439299.5 559585),MH,,,NZ39592503,CH,C,37650,,
Point (439187.21600000001490116 558290.18200000002980232),MH,,1100,NZ39581205,CH,S,33850,,
Point (439186 558320.34499999997206032),Null,,,NZ3958AT32,ATC,S,34000,,
Point (439188.37099999998463318 558316.81400000001303852),Null,,370,NZ3958P073,RE,S,33930,,
Point (439187.84100000001490116 558310.99399999994784594),Null,,,NZ3958P119,RE,F,33860,,
Point (439189.24599999998463318 558313.28399999998509884),Null,,,NZ39581348,J,F,33860,,
Point (439188.75699999998323619 558309.64000000001396984),Null,,,NZ3958P120,RE,F,33860,,
Point (439190.481000000028871 558311.52199999999720603),Null,,,NZ39581347,J,F,33610,,
Point (439189.25 558279),MH,,,NZ39581202,CH,F,33300,,
Point (439194.0059999999939464 558278.71400000003632158),MH,,1200,NZ39581206,CH,F,33370,,
Point (439192.72700000001350418 558303.20200000004842877),Null,,,NZ3958P121,RE,F,33580,,
Point (439194.90000000002328306 558303.01300000003539026),Null,,,NZ3958AT29,ATC,F,33580,,
Point (439194.04899999999906868 558301.26199999998789281),Null,,,NZ3958P122,RE,F,33580,,
Point (439197.4529999999795109 558295.38399999996181577),Null,,,NZ3958P123,RE,F,33310,,
Point (439195.54899999999906868 558304.34900000004563481),MH,,1030,NZ39581346,CH,F,33310,,
Point (439199.85899999999674037 558295.87899999995715916),Null,,,NZ3958AT31,ATC,F,33310,,
Point (439198.86300000001210719 558293.35699999995995313),Null,,,NZ3958P124,RE,F,33310,,
Point (439191 558486.25),MH,,,NZ39581406,CH,C,33610,,
Point (439225.5 558479.5),MH,,,NZ39582409,CH,C,33230,,
Point (439164.30700000002980232 558347.14699999999720603),Null,,,NZ3958P114,RE,F,34000,,
Point (439303.5 558556.75),MH,,,NZ39583505,CH,C,32370,,
Point (439167.37800000002607703 558305.78899999998975545),MH,,1580,NZ39581316,CH,S,33860,,
Point (439166.22600000002421439 558324.22400000004563481),Null,,,NZ3958P131,RE,S,33990,,
Point (439169 558310),MH,,3300,NZ39581302,CH,F,33900,,
Point (439168.70799999998416752 558320.19799999997485429),Null,,,NZ3958AT38,ATC,S,33990,,
Point (439172 558343.5),MH,,2660,NZ39581307,CH,F,34000,,
Point (439171.5 558309.5),MH,,2670,NZ39581301,CH,S,33900,,
Point (439174.25 558343.25),MH,,,NZ39581308,CH,S,34000,,
Point (439172.7559999999939464 558334.36199999996460974),Null,,,NZ3958P117,RE,F,34000,,
Point (439180 558346.5),MH,,,NZ39581309,CH,S,34000,,
Point (439175.40299999999115244 558336.12699999997857958),MH,,1800,NZ39581350,CH,F,34000,,
Point (439185.36499999999068677 558319.28099999995902181),Null,,,NZ39581349,J,F,33930,,
Point (439183.606000000028871 558317.87199999997392297),Null,,,NZ3958P118,RE,F,34000,,
Point (439345 558439),MH,,,NZ39583404,CH,C,31800,,
Point (439269.50300000002607703 558438.78899999998975545),Null,,,NZ3958P041,RE,F,33000,,
Point (439257.51099999999860302 558445.93200000002980232),MH,,1620,NZ39582413,CH,S,33030,,
Point (439272.50300000002607703 558440.81900000001769513),MH,,1650,NZ3958P040,CH,F,32930,,
Point (439277.5 558451.5),MH,,,NZ39582407,CH,C,32820,,
Point (439274.5 558450.25),MH,,,NZ39582405,CH,S,32870,,
Point (439265 558454),MH,,,NZ39582403,CH,C,32910,,
Point (439261 558452.5),MH,,,NZ39582404,CH,S,32960,,
Point (439278 558457),FC,,,NZ39582406,CH,C,32790,,
Point (439308 558455.25),MH,,,NZ39583401,CH,C,32520,,
Point (439309.75 558464.25),MH,,,NZ39583403,CH,C,32490,,
Point (439217.25 558461.5),MH,,,NZ39582402,CH,C,33360,,
Point (439212.5 558468.5),MH,,,NZ39582401,CH,C,33410,,
Point (439340.96799999999348074 558466.09600000001955777),Null,,,NZ39583417,ZZZ,C,31970,,
Point (439169.5 558478.25),MH,,,NZ39581405,CH,C,33900,,
Point (439264 558473.25),MH,,,NZ39582408,CH,C,32840,,
Point (439282.5 558783),MH,,,NZ39582713,CH,C,32990,,
Point (439282.5 558795.5),MH,,,NZ39582703,CH,C,32990,,
Point (439283.57699999999022111 558814.53399999998509884),MH,,,NZ39582801,CH,C,33100,,
Point (439282.5 558776.5),MH,,,NZ39582702,CH,C,32990,,
Point (439274.61800000001676381 558430.85199999995529652),Null,,,NZ3958P042,RE,F,32990,,
Point (439265.0059999999939464 558426.96900000004097819),MH,,1240,NZ3958P035,CH,S,33060,,
Point (439276.89100000000325963 558431.57600000000093132),Null,,,NZ3958AT09,ATC,F,32940,,
Point (439264.91800000000512227 558431.29200000001583248),Null,,,NZ3958P034,PC,S,33080,,
Point (439254.15799999999580905 558433.49600000004284084),MH,,1320,NZ39582412,CH,S,33170,,
Point (439278.50099999998928979 558432.08900000003632158),Null,,,NZ39582423,J,F,32940,,
Point (439243.37699999997857958 558434.79799999995157123),Null,,,NZ39582411,ZZZ,F,33260,,
Point (439333 558434),MH,,1710,NZ39583405,CH,C,32040,,
Point (439277.12699999997857958 558436.42799999995622784),Null,,,NZ3958AT08,ATC,S,32910,,
Point (439243.57000000000698492 558435.87600000004749745),Null,,,NZ39582410,ZZZ,S,33230,,
Point (439274.59100000001490116 558437.78000000002793968),Null,,,NZ3958AT07,ATC,F,32960,,
Point (439276.55800000001909211 558437.38199999998323619),Null,,,NZ3958P044,RE,S,32910,,
Point (439221 558836.5),MH,,,NZ39582802,CH,C,34460,,
Point (439220.02000000001862645 558719.08799999998882413),Null,,,NZ39582724,J,C,33920,,
Point (439230.26400000002468005 558754.98400000005494803),Null,,,NZ39582721,CE,C,33760,,
Point (439229 558735.5),MH,,,NZ39582705,CH,C,33840,,
Point (439244.94400000001769513 558718.44900000002235174),Null,,,NZ39582725,J,C,33610,,
Point (439239.60999999998603016 558816.48199999995995313),MH,,700,NZ39582805,CH,C,33970,,
Point (439249.27899999998044223 558859.19299999997019768),MH,,,NZ39582808,CH,C,34020,,
Point (439248.25 558795.5),MH,,,NZ39582712,CH,C,33610,,
Point (439252.5 558735.75),MH,,,NZ39582706,CH,C,33460,,
Point (439250 558710),MH,,910,NZ39582717,CH,C,33460,,
Point (439274 558754.5),MH,,,NZ39582709,CH,C,33150,,
Point (439262.5 558736),MH,,,NZ39582707,CH,C,33300,,
Point (439276 558768.25),MH,,,NZ39582710,CH,C,33070,,
Point (439275.5 558736),MH,,,NZ39582711,CH,C,33070,,
Point (439279.5 558718),MH,,,NZ39582704,CH,C,33070,,
Point (439277.5 558725.5),MH,,,NZ39582708,CH,C,33070,,
Point (439245.21399999997811392 558413.08799999998882413),Null,,,NZ3958AT18,ATC,F,33330,,
Point (439244.14600000000791624 558414.62300000002142042),Null,,,NZ3958P103,J,F,33380,,
Point (439245.72299999999813735 558413.40899999998509884),Null,,,NZ3958AT19,ATC,S,33330,,
Point (439245.49200000002747402 558400.44400000001769513),Null,,,NZ3958P102,RE,F,33390,,
Point (439169.9529999999795109 558707.10100000002421439),Null,,,NZ39581703,ZZZ,C,34580,,
Point (439245.87099999998463318 558412.15399999998044223),Null,,,NZ39582425,J,F,33330,,
Point (439181.89799999998649582 558753.80099999997764826),MH,,1100,NZ39581706,CH,C,34530,,
Point (439174.53100000001722947 558719.60400000005029142),MH,,1700,NZ39581704,CH,C,34580,,
Point (439189 558787),MH,,620,NZ39581701,CH,C,34620,,
Point (439186.86099999997531995 558778.75899999996181577),Null,,,NZ39581705,ZZZ,C,34570,,
Point (439201 558787),MH,,840,NZ39582715,CH,C,34350,,
Point (439193 558787),MH,,740,NZ39581702,CH,C,34530,,
Point (439203 558786),MH,,980,NZ39582716,CH,C,34350,,
Point (439201.27899999998044223 558719.46699999994598329),MH,,,NZ39582701,CH,C,34220,,
Point (439214.83100000000558794 558696.48300000000745058),Null,,,NZ39582626,CE,C,34050,,
Point (439212 558845),MH,,,NZ39582806,CH,C,34750,,
Point (438905.74599999998463318 559144.94599999999627471),MH,,,NZ38599102,CH,C,43140,,
Point (439011 559137),MH,,,NZ39590104,CH,C,42270,,
Point (438892.97899999999208376 559189.96299999998882413),MH,,,NZ38598102,CH,C,45560,,
Point (439046 559188),MH,,,NZ39590105,CH,C,41130,,
Point (438975.72299999999813735 559206.23899999994318932),Null,,,NZ38599207,CE,C,44750,,
Point (439058.5 559190),MH,,,NZ39590106,CH,C,40340,,
Point (439039.06500000000232831 559217.06200000003445894),MH,,,NZ39590209,CH,C,42290,,
Point (438893.11300000001210719 559214.44700000004377216),MH,,,NZ38598203,CH,C,47340,,
Point (438993.52299999998649582 559219.37699999997857958),MH,,,NZ38599201,CH,C,44290,,
Point (438987.30700000002980232 559218.67000000004190952),MH,,,NZ38599204,CH,C,44510,,
Point (438866.12599999998928979 559241.11699999996926636),MH,,,NZ38598202,CH,C,50840,,
Point (439037.5 559223),MH,,1360,NZ39590204,CH,C,42390,,
Point (438776.5 559265.5),MH,,2810,NZ38597213,CH,C,53740,,
Point (438982.29399999999441206 559241.90899999998509884),MH,,,NZ38599205,CH,C,45510,,
Point (438983.5 559271.5),MH,,,NZ38599202,CH,C,46800,,
Point (438976.92599999997764826 559268.60900000005494803),MH,,,NZ38599206,CH,C,46830,,
Point (438791.21100000001024455 558959.40200000000186265),Null,,,NZ3858AT02,ATC,C,43790,,
Point (438961.5 558958.5),MH,,,NZ38589904,CH,C,41260,,
Point (438796.25 558997.5),MH,,,NZ38587901,CH,C,43540,,
Point (438796.28399999998509884 558960.53700000001117587),Null,,,NZ38587907,J,C,43660,,
Point (438995.5 559027.5),MH,,,NZ38599003,CH,C,41460,,
Point (439035.10100000002421439 559020.07200000004377216),Null,,,NZ39590006,CE,C,40420,,
Point (438790 559033.5),MH,,,NZ38597001,CH,C,43780,,
Point (439019.25 559032.5),MH,,,NZ39590001,CH,C,41010,,
Point (438794.99699999997392297 559039.00100000004749745),Null,,,NZ38597003,CE,C,43810,,
Point (438967 559038.5),MH,,,NZ38599002,CH,C,41790,,
Point (438961 559059),MH,,,NZ38599001,CH,C,41990,,
Point (439008 559052),Null,,,NZ3959WC01,ZZZ,W,41570,,
Point (438992.51099999999860302 559119.51399999996647239),MH,,,NZ38599103,CH,C,42200,,
Point (438920.25 559112.5),MH,,,NZ38599101,CH,C,42760,,
Point (438797.5 559130),MH,,,NZ38597113,CH,C,44700,,
Point (439013.01600000000325963 559124.58400000003166497),MH,,,NZ39590103,CH,C,42070,,
Point (438789.5 558834.5),MH,,,NZ38587806,CH,S,44340,,
Point (438798 558832),MH,,,NZ38587807,CH,S,44100,,
Point (438806.5 558845.5),MH,,,NZ38588803,CH,S,43810,,
Point (438810.88299999997252598 558835.45799999998416752),Null,,,NZ38588805,J,S,43730,,
Point (438800.75 558875),MH,,,NZ38588801,CH,C,43830,,
Point (438798.76500000001396984 558867.77700000000186265),MH,,2560,NZ38587801,CH,C,43980,,
Point (438786 558901),MH,,,NZ38587903,CH,C,44100,,
Point (438901.5 558897),MH,,,NZ38589801,CH,C,41480,,
Point (438930 558903),MH,,,NZ38589903,CH,C,41190,,
Point (438796.5 558901),MH,,,NZ38587902,CH,C,43860,,
Point (438966 558923),MH,,,NZ38589902,CH,C,40960,,
Point (438886.25 558911),MH,,,NZ38588901,CH,C,41770,,
Point (438783 558934.5),MH,,,NZ38587906,CH,C,44120,,
Point (438921.5 558925.5),MH,,,NZ38589901,CH,C,41510,,
Point (438783.66100000002188608 558948.29099999996833503),MH,,,NZ38587918,CH,F,44070,,
Point (438796.28200000000651926 558944.35100000002421439),MH,,,NZ38587909,CH,C,43730,,
Point (438839 558468),MH,,,NZ38588401,CH,C,40290,,
Point (438838 558427.5),Null,,,NZ38588414,J,C,37900,,
Point (438840.25 558490.25),MH,,,NZ38588402,CH,C,40610,,
Point (438839.25 558385),MH,,,NZ38588305,CH,C,32270,,
Point (438844.25 558581),MH,,,NZ38588505,CH,C,42560,,
Point (438842.86599999997997656 558474.05599999998230487),Null,,,NZ38588410,CE,S,40370,,
Point (438855.5 558355.25),MH,,,NZ38588306,CH,S,28470,,
Point (438846.25 558459),MH,,,NZ38588404,CH,S,40070,,
Point (438860.87400000001071021 558439.89500000001862645),MH,,,NZ38588405,CH,S,39390,,
Point (438856.5 558376.75),MH,,,NZ38588310,CH,S,31890,,
Point (438802 558815),MH,,,NZ38588807,CH,C,44100,,
Point (438874.25 558566.5),MH,,,NZ38588508,CH,C,41350,,
Point (438826.25 558819),MH,,,NZ38588802,CH,C,43670,,
Point (438786 558817),MH,,,NZ38587812,CH,C,44390,,
Point (438801.5 558831.25),MH,,,NZ38588804,CH,S,43980,,
Point (438799 558820),MH,,960,NZ38587813,CH,C,44140,,
Point (438808 558507),MH,,,NZ38588507,CH,C,42400,,
Point (438808 558516),MH,,,NZ38588502,CH,C,42920,,
Point (438809.25 558592),MH,,,NZ38588504,CH,C,44040,,
Point (438808.25 558595.5),MH,,,NZ38588503,CH,S,44020,,
Point (438810 558514),MH,,,NZ38588501,CH,C,42600,,
Point (438810 558498),MH,,,NZ38588407,CH,C,41780,,
Point (438813.25 558390.5),MH,,,NZ38588308,CH,S,32360,,
Point (438812.25 558594),MH,,,NZ38588509,CH,C,43960,,
Point (438818.58399999997345731 558451.40200000000186265),Null,,,NZ38588412,CE,C,38960,,
Point (438816.59600000001955777 558431.537999999942258),Null,,2900,NZ38588408,J,C,37500,,
Point (438828.625 558429.40500000002793968),MH,,3550,NZ38588409,CH,C,37520,,
Point (438818.72899999999208376 558431.12600000004749745),MH,,2700,NZ38588415,CH,C,37500,,
Point (438829.5 558385.5),MH,,,NZ38588309,CH,S,31580,,
Point (438829 558478),MH,,,NZ38588406,CH,C,40510,,
Point (438836.5 558390),CSO,1525,5730,NZ38588302,CH,C,33370,,
Point (438832.25 558495.5),MH,,,NZ38588403,CH,C,40880,,
Point (439096 558623),MH,,,NZ39580607,CH,C,34890,,
Point (439108 558620),MH,,1180,NZ39581606,CH,C,34780,,
Point (439087 558627),MH,,,NZ39580605,CH,C,35400,,
Point (439128.59200000000419095 558626.58600000001024455),Null,,,NZ39581631,J,C,34600,,
Point (439116.3090000000083819 558630.00800000003073364),Null,,,NZ39581629,J,C,34730,,
Point (439081 558629),MH,,,NZ39580604,CH,C,35690,,
Point (439131 558634),MH,,1110,NZ39581616,CH,C,34570,,
Point (439069 558632),MH,,670,NZ39580603,CH,C,36630,,
Point (439091.7970000000204891 558636.837000000057742),Null,,,NZ39580608,LH,C,35320,,
Point (439101.14299999998183921 558634.23300000000745058),Null,,,NZ39581628,J,C,34890,,
Point (438883 558645.25),MH,,,NZ38588603,CH,C,42340,,
Point (439102 558642),MH,,1160,NZ39581614,CH,C,35020,,
Point (438787.5 558605.25),MH,,,NZ38587601,CH,C,44340,,
Point (438787.25 558608.25),MH,,,NZ38587602,CH,S,44340,,
Point (438799.99900000001071021 558514),MH,,,NZ38587509,CH,C,42730,,
Point (438798 558516),MH,,,NZ38587508,CH,C,42960,,
Point (438998.65200000000186265 558565.72600000002421439),MH,,2600,NZ3858P007,CH,C,39690,,
Point (438977.16999999998370185 558563.30400000000372529),MH,,3200,NZ3858P008,CH,C,40830,,
Point (438966.5 558568.5),MH,,,NZ38589501,CH,C,40920,,
Point (439015.45699999999487773 558565.81499999994412065),MH,,2100,NZ3958P029,CH,C,38530,,
Point (439014.16100000002188608 558570.8279999999795109),MH,,1200,NZ3958P028,CH,C,38800,,
Point (438877.25 558570.5),MH,,,NZ38588506,CH,C,41380,,
Point (439025.50500000000465661 558592.13300000003073364),MH,,550,NZ3958P026,CH,C,38140,,
Point (439023.23499999998603016 558582.47699999995529652),MH,,950,NZ3958P027,CH,C,38170,,
Point (439110 558607),MH,,,NZ39581608,CH,C,34660,,
Point (439138 558601),MH,,,NZ39581612,CH,C,34370,,
Point (439142 558612),MH,,,NZ39581611,CH,C,34360,,
Point (438970.25 558609.5),MH,,,NZ38589604,CH,C,40010,,
Point (439082 558616),MH,,700,NZ39580606,CH,C,35570,,
Point (439137 558613),MH,,1100,NZ39581610,CH,C,34410,,
Point (439113 558619),MH,,1310,NZ39581607,CH,C,34710,,
Point (439124 558617),MH,,800,NZ39581609,CH,C,34600,,
Point (438948.5 558442.25),MH,,,NZ38589406,CH,C,39060,,
Point (438986 558438),MH,,,NZ38589402,CH,C,37430,,
Point (439101.5 558469.5),MH,,,NZ39581401,CH,C,34970,,
Point (438999 558456),MH,,,NZ38589404,CH,C,37500,,
Point (438897.5 558488.5),MH,,,NZ38588413,CH,C,40640,,
Point (438960 558473),Null,,,NZ3858HD04,ZZZ,S,39230,,
Point (438880 558489.75),MH,,,NZ38588411,CH,C,40560,,
Point (439128 558489.25),MH,,,NZ39581404,CH,C,34430,,
Point (439012 558494.5),MH,,,NZ39580402,CH,C,37970,,
Point (438994.75 558491),MH,,,NZ38589409,CH,C,38760,,
Point (438939.99699999997392297 558496.50100000004749745),Null,,,NZ38589407,CE,C,40940,,
Point (438963 558495.25),MH,,,NZ38589403,CH,C,40280,,
Point (438967 558530.5),MH,,,NZ38589502,CH,C,40390,,
Point (439005.5 558519),MH,,,NZ39580501,CH,C,38530,,
Point (438975.58500000002095476 558562.73999999999068677),Null,,,NZ3858AT03,ATC,C,40830,,
Point (438972.03399999998509884 558561.47600000002421439),Null,,,NZ38589503,J,C,41000,,
Point (438973.5 558359.5),MH,,,NZ38589301,CH,C,36000,,
Point (439143.3879999999771826 558359.23899999994318932),MH,,1360,NZ39581327,CH,S,34000,,
Point (439098.5 558364.75),MH,,1650,NZ39580307,CH,C,34920,,
Point (438998.5 558361.5),MH,,,NZ38589304,CH,C,35360,,
Point (439127.42599999997764826 558366.91399999998975545),MH,,1180,NZ39581330,CH,S,34280,,
Point (439139.24300000001676381 558365.50199999997857958),MH,,1270,NZ39581332,CH,S,34000,,
Point (438898 558379.25),MH,,,NZ38588301,CH,C,34690,,
Point (438913.5 558370),MH,,,NZ38589302,CH,C,34730,,
Point (439126.89600000000791624 558391.34199999994598329),MH,,,NZ39581331,CH,F,34620,,
Point (439108.02299999998649582 558381.19900000002235174),Null,,,NZ39581328,RE,S,34620,,
Point (438983.5 558401.5),MH,,,NZ38589401,CH,C,37130,,
Point (438963 558392.5),MH,,,NZ38589303,CH,S,37610,,
Point (438996.5 558410),MH,,,NZ38589405,CH,C,36680,,
Point (438910.25 558402.5),MH,,,NZ38589408,CH,S,37230,,
Point (439099.99900000001071021 558415.5),MH,,,NZ39580401,CH,C,34960,,
Point (439121 558413),MH,,,NZ39581403,CH,C,34920,,
Point (438971.30599999998230487 559394.018999999971129),MH,,,NZ38599311,CH,C,52900,,
Point (438971.08199999999487773 559387.96100000001024455),MH,,,NZ38599309,CH,C,52650,,
Point (438902.25 559401),MH,,,NZ38599405,CH,C,59770,,
Point (438910.55200000002514571 559394.21299999998882413),MH,,1640,NZ38599317,CH,C,57260,,
Point (439017.5 559412.25),MH,,,NZ39590401,CH,C,52670,,
Point (438995 559409),MH,,,NZ38599401,CH,C,52770,,
Point (438931.36999999999534339 559417.57700000004842877),Null,,,NZ38599406,CE,C,58530,,
Point (438957.00099999998928979 559415.99600000004284084),MH,,1410,NZ38599409,CH,C,55700,,
Point (438965.9220000000204891 559439.56400000001303852),Null,,,NZ38599408,CE,C,55880,,
Point (438947.23399999999674037 559418.06099999998696148),Null,,,NZ38599407,CE,C,56380,,
Point (438966.5 559461.5),MH,,,NZ38599404,CH,C,57190,,
Point (439015.5 559449),MH,,,NZ39590402,CH,C,55180,,
Point (438951 559497.5),MH,,1170,NZ38599403,CH,C,60160,,
Point (438980 559462.5),MH,,,NZ38599402,CH,C,55830,,
Point (439109.08100000000558794 558355.62399999995250255),MH,,830,NZ39581329,CH,S,34580,,
Point (438969.25 558351),Null,,,NZ38589307,J,S,35480,,
Point (438946 559309),MH,,,NZ38599303,CH,C,50170,,
Point (438918.80599999998230487 559307.4150000000372529),MH,,,NZ38599305,CH,C,51870,,
Point (438931.5 559310),MH,,,NZ38599302,CH,C,51210,,
Point (438949.73900000000139698 559309.87899999995715916),Null,,,NZ38599316,J,C,50170,,
Point (438988.5 559318.5),MH,,,NZ38599304,CH,C,48510,,
Point (438965.36599999997997656 559313.61300000001210719),Null,,,NZ38599315,J,C,49230,,
Point (439054.25 559331),MH,,,NZ39590301,CH,C,47480,,
Point (438949.99200000002747402 559318.85699999995995313),MH,,,NZ38599307,CH,C,50550,,
Point (438921 559356.25),MH,,,NZ38599301,CH,C,53490,,
Point (438896.81800000002840534 559354.53099999995902181),Null,,,NZ38598301,CE,C,55610,,
Point (438897.26699999999254942 559361.93500000005587935),MH,,,NZ38598302,CH,C,56140,,
Point (438911.40200000000186265 559359.24199999996926636),MH,,1550,NZ38599306,CH,C,54650,,
Point (438969.51199999998789281 559379.43500000005587935),Null,,,NZ38599312,CE,C,52340,,
Point (438950.66499999997904524 559367.76800000004004687),Null,,,NZ3859AT01,ATC,C,52430,,
Point (438986.78700000001117587 559387.287999999942258),MH,,,NZ38599310,CH,C,52060,,
Point (438993.23300000000745058 559386.83799999998882413),Null,,,NZ38599314,J,C,51860,,
Point (439167.5 559194),MH,,,NZ39591108,CH,C,38930,,
Point (439163.91100000002188608 559173.55700000002980232),MH,,,NZ39591112,CH,C,39110,,
Point (439179.42599999997764826 559114.90200000000186265),MH,,,NZ39591110,CH,C,38220,,
Point (439174.05200000002514571 559197.47299999999813735),MH,,,NZ39591113,CH,C,38830,,
Point (439187.6780000000144355 559118.55200000002514571),MH,,,NZ39591115,CH,C,37580,,
Point (439186.5 559123),MH,,1560,NZ39591106,CH,C,37500,,
Point (439193.95799999998416752 559122.62199999997392297),MH,,,NZ39591109,CH,C,37290,,
Point (439189.81400000001303852 559110.49399999994784594),MH,,,NZ39591114,CH,C,37700,,
Point (439206.99599999998463318 559231.81099999998696148),Null,,,NZ39592205,CE,C,39960,,
Point (439195.5 559269),MH,,,NZ39591203,CH,C,40920,,
Point (439211.59499999997206032 559215.05700000002980232),MH,,1260,NZ39592209,CH,C,39180,,
Point (439209 559264.75),MH,,,NZ39592203,CH,C,40960,,
Point (439225 559202.5),MH,,,NZ39592204,CH,C,37980,,
Point (439219.89000000001396984 559184.91399999998975545),MH,,,NZ39592102,CH,C,37560,,
Point (438903.32500000001164153 559304.04899999999906868),MH,,,NZ38599313,CH,C,53370,,
Point (439226.21399999997811392 559226.71900000004097819),Null,,,NZ39592206,CE,C,39080,,
Point (439066.4340000000083819 559191.00199999997857958),Null,,,NZ39590108,J,C,39750,,
Point (439059.5 559227),MH,,,NZ39590201,CH,C,41640,,
Point (439070.75 559169),MH,,,NZ39590101,CH,C,39110,,
Point (439070 559101),MH,,,NZ39590102,CH,C,40660,,
Point (439102.5 559145),MH,,,NZ39591101,CH,C,39090,,
Point (439094.14899999997578561 559285.62199999997392297),MH,,920,NZ39590210,CH,C,43840,,
Point (439110 559155),MH,,,NZ39591102,CH,C,39210,,
Point (439108.5 559159),MH,,,NZ3959WC02,CH,W,39150,,
Point (439123.26799999998183921 559104.00399999995715916),MH,,,NZ39591111,CH,C,40970,,
Point (439120.5 559143.75),MH,,,NZ39591103,CH,C,39330,,
Point (439130.5 559105.5),MH,,,NZ39591104,CH,C,40850,,
Point (439126.5 559235),MH,,,NZ39591202,CH,C,40430,,
Point (439135 559188),MH,,,NZ39591105,CH,C,40480,,
