wkt_geom,UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID
"MultiLineString ((435480.5 558993, 435501 558922.5))",,,NZ35585901,NZ35584903,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007705
"MultiLineString ((435576.01000000000931323 559029.40899999998509884, 435657 558970))",1900,1450,NZ35586901,NZ35595001,GRV,225,,VC,1945,225,1.7,Z,C,,STE-S007706
"MultiLineString ((435413 559037.5, 435410.5 558952))",,,NZ35584902,NZ35594002,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007896
"MultiLineString ((435477.5 559065, 435390 559096.5))",1630,1570,NZ35593001,NZ35594001,GRV,150,,VC,1945,225,1.6,Z,C,,STE-S025390
"MultiLineString ((435544 558998.5, 435518 558992))",,,NZ35585904,NZ35585905,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S025210
"MultiLineString ((435459.75 559119, 435444 559107))",,1360,NZ35594105,NZ35594104,GRV,225,,Z,1945,225,1.4,Z,C,,STE-S025398
"MultiLineString ((435390 559096.5, 435346.5 559116))",1540,1630,NZ35593101,NZ35593001,GRV,150,,VC,1945,225,1.6,Z,C,,STE-S007875
"MultiLineString ((435470 559158.5, 435459.75 559119))",,1440,NZ35594104,NZ35594103,GRV,225,,Z,1945,225,1.4,Z,C,,STE-S007882
"MultiLineString ((435444 559107, 435379 559127.5))",,,NZ35593102,NZ35594105,GRV,225,,Z,1945,225,1.9,Z,C,,STE-S007876
"MultiLineString ((435418 559137.5, 435396 559143))",2270,,NZ35593103,NZ35594102,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S007877
"MultiLineString ((435394.95600000000558794 559138.99300000001676381, 435379 559127.5))",,,NZ35593102,NZ35593105,GRV,225,,VC,1955,225,2,Z,C,,STE-S1255891
"MultiLineString ((435402 559179, 435396 559143))",2270,,NZ35593103,NZ35594101,GRV,225,,VC,1955,225,1.8,Z,C,,STE-S025392
"MultiLineString ((435396 559143, 435394.95600000000558794 559138.99300000001676381))",,2270,NZ35593105,NZ35593103,GRV,225,,VC,1955,225,2,Z,C,,STE-S025391
"MultiLineString ((435353 559194.5, 435402 559179))",,,NZ35594101,NZ35593104,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S007881
"MultiLineString ((435472.90799999999580905 559181.42000000004190952, 435470 559158.5))",1440,1310,NZ35594103,NZ35594106,GRV,225,,Z,1955,225,1.9,Z,C,,STE-S345050
"MultiLineString ((435508.42599999997764826 558268.24499999999534339, 435507.83799999998882413 558274.5849999999627471))",,,NZ3558HD11,NZ3558HD14,GRV,,,Z,,,,Z,S,,STE-S1322735
"MultiLineString ((435502.99099999997997656 558272.16200000001117587, 435494.04499999998370185 558276.84299999999348074))",,,NZ3558P053,NZ3558HD12,GRV,,,Z,,,,Z,S,,STE-S1322733
"MultiLineString ((435520.27899999998044223 558358.27899999998044223, 435513.97800000000279397 558328.71400000003632158))",,,NZ3558HD06,NZ3558HD04,GRV,,,Z,,,,Z,S,,STE-S1322728
"MultiLineString ((435511.87699999997857958 558348.5849999999627471, 435513.97800000000279397 558328.71400000003632158))",,,NZ3558HD06,NZ3558HD05,GRV,,,Z,,,,Z,S,,STE-S1322727
"MultiLineString ((435529 558367, 435583 558387))",,,NZ35585302,NZ35585301,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S025744
"MultiLineString ((435520.7629999999771826 558326.93500000005587935, 435513.97800000000279397 558328.71400000003632158))",,,NZ3558HD06,NZ3558HD07,GRV,,,Z,,,,Z,S,,STE-S1322729
"MultiLineString ((435533 558298.5, 435535 558264.5))",,1830,NZ35585203,NZ35585202,GRV,225,,Z,1945,225,1.8,Z,C,,STE-S008226
"MultiLineString ((435530.84899999998742715 558264.68900000001303852, 435535 558264.5))",1510,,NZ35585203,NZ3558AT09,GRV,,,Z,,,,Z,F,,STE-S1322878
"MultiLineString ((435593 558267, 435610 558326))",,2510,NZ35586301,NZ35585204,GRV,300,,Z,1945,300,2.5,Z,C,,STE-S008239
"MultiLineString ((435535 558264.5, 435593 558267))",,1570,NZ35585204,NZ35585203,GRV,225,,Z,1945,225,2,Z,C,,STE-S025742
"MultiLineString ((435618.5 558278, 435679 558286))",,2350,NZ35586202,NZ35586201,GRV,150,,Z,1955,150,2.4,Z,C,,STE-S025754
"MultiLineString ((435610 558326, 435627 558387))",,,NZ35586302,NZ35586301,GRV,300,,Z,1925,300,1.8,Z,C,,STE-S025755
"MultiLineString ((435657 558970, 435728.5 558915.5))",3110,1900,NZ35587901,NZ35586901,GRV,225,,VC,1945,225,2.4,Z,C,,STE-S007701
"MultiLineString ((435688.50400000001536682 558904.31000000005587935, 435648.73399999999674037 558935.47800000000279397))",,,NZ35586905,NZ35586903,GRV,225,,,,,,2000-2009,S,,STE-S1236946
"MultiLineString ((435640.61499999999068677 558934.86800000001676381, 435632.5 558922))",1600,,NZ35586902,NZ35586904,GRV,225,,,,,,2000-2009,C,,STE-S1236948
"MultiLineString ((435518 558992, 435536.5 558916))",,,NZ35585903,NZ35585904,GRV,300,,Z,1945,300,2,Z,C,,STE-S025209
"MultiLineString ((435459.74699999997392297 558339.85699999995995313, 435470.71500000002561137 558337.662999999942258))",,,NZ3558P045,NZ3558P046,GRV,,,Z,,,,Z,F,,STE-S1322686
"MultiLineString ((435476.89600000000791624 558339.06099999998696148, 435456.55599999998230487 558342.55099999997764826))",,,NZ3558P057,NZ3558P056,GRV,,,Z,,,,Z,S,,STE-S1322696
"MultiLineString ((435470.71500000002561137 558337.662999999942258, 435476.29899999999906868 558317.7219999999506399))",,,NZ3558P044,NZ3558P045,GRV,,,Z,,,,Z,F,,STE-S1322684
"MultiLineString ((435467.92399999999906868 558265.67299999995157123, 435487.26699999999254942 558266.67099999997299165))",,,NZ3558P042,NZ3558P041,GRV,,,Z,,,,Z,F,,STE-S1322681
"MultiLineString ((435481.48200000001816079 558317.72400000004563481, 435476.89600000000791624 558339.06099999998696148))",,,NZ3558P056,NZ3558P055,GRV,,,Z,,,,Z,S,,STE-S1322695
"MultiLineString ((435476.29899999999906868 558317.7219999999506399, 435484.87400000001071021 558314.33100000000558794))",,,NZ3558P043,NZ3558P044,GRV,,,Z,,,,Z,F,,STE-S1322683
"MultiLineString ((435484.87400000001071021 558314.33100000000558794, 435487.26699999999254942 558266.67099999997299165))",,,NZ3558P042,NZ3558P043,GRV,,,Z,,,,Z,F,,STE-S1322682
"MultiLineString ((435491.65299999999115244 558317.52300000004470348, 435481.48200000001816079 558317.72400000004563481))",,,NZ3558P055,NZ3558P054,GRV,,,Z,,,,Z,S,,STE-S1322694
"MultiLineString ((435487.15700000000651926 558343.73999999999068677, 435491.65299999999115244 558317.52300000004470348))",,,NZ3558P054,NZ3558HD10,GRV,,,Z,,,,Z,S,,STE-S1322724
"MultiLineString ((435486.83399999997345731 558322.41200000001117587, 435491.65299999999115244 558317.52300000004470348))",,,NZ3558P054,NZ3558HD09,GRV,,,Z,,,,Z,S,,STE-S1322723
"MultiLineString ((435494.04499999998370185 558276.84299999999348074, 435491.65299999999115244 558317.52300000004470348))",,,NZ3558P054,NZ3558P053,GRV,,,Z,,,,Z,S,,STE-S1322693
"MultiLineString ((435487.26699999999254942 558266.67099999997299165, 435530.84899999998742715 558264.68900000001303852))",1510,,NZ3558AT09,NZ3558P042,GRV,,,Z,,,,Z,F,,STE-S1322692
"MultiLineString ((435513.97800000000279397 558328.71400000003632158, 435491.65299999999115244 558317.52300000004470348))",,,NZ3558P054,NZ3558HD06,GRV,,,Z,,,,Z,S,,STE-S1322726
"MultiLineString ((435502.66800000000512227 558314.1720000000204891, 435491.65299999999115244 558317.52300000004470348))",,,NZ3558P054,NZ3558HD08,GRV,,,Z,,,,Z,S,,STE-S1322725
"MultiLineString ((435507.83799999998882413 558274.5849999999627471, 435494.04499999998370185 558276.84299999999348074))",,,NZ3558P053,NZ3558HD11,GRV,,,Z,,,,Z,S,,STE-S1322734
"MultiLineString ((435503.47499999997671694 558269.4150000000372529, 435494.04499999998370185 558276.84299999999348074))",,,NZ3558P053,NZ3558HD13,GRV,,,Z,,,,Z,S,,STE-S1322732
"MultiLineString ((435749.5 558296, 435827.30599999998230487 558306.23499999998603016))",,1810,NZ35588305,NZ35587201,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S008262
"MultiLineString ((435746.5 558435.5, 435795 558443))",,1600,NZ35587405,NZ35587403,GRV,225,,Z,1955,225,1.6,Z,C,,STE-S025767
"MultiLineString ((435771.11599999997997656 558259.16000000003259629, 435767 558258))",,,NZ35587202,NZ35587208,GRV,,,Z,,,,Z,C,,STE-S1254808
"MultiLineString ((435754.98599999997531995 558332.67799999995622784, 435823 558343))",1770,,NZ35588303,NZ35587302,GRV,150,,Z,1955,150,1.6,Z,C,,STE-S025834
"MultiLineString ((435795 558443, 435807 558433.5))",,740,NZ35588403,NZ35587405,GRV,225,,Z,1955,225,0.7,Z,C,,STE-S008265
"MultiLineString ((435779 558425, 435807 558433.5))",,,NZ35588403,NZ3558HD01,GRV,150,,VC,,,,Z,S,,STE-S025781
"MultiLineString ((435807 558433.5, 435811 558404.5))",2340,1010,NZ35588402,NZ35588403,GRV,225,,Z,1955,225,1,Z,C,,STE-S008264
"MultiLineString ((435804 558370.5, 435811 558404.5))",2260,2150,NZ35588402,NZ35588304,GRV,225,,VC,1955,225,2.2,Z,C,,STE-S025780
"MultiLineString ((435811.64699999999720603 558271.46299999998882413, 435821.09299999999348074 558274.08200000005308539))",,,NZ35588206,NZ35588207,GRV,100,,,,,,,C,,STE-S1262318
"MultiLineString ((435811 558404.5, 435855.5 558407))",1210,2370,NZ35588401,NZ35588402,GRV,225,,VC,1955,225,2.4,Z,C,,STE-S008263
"MultiLineString ((435827.30599999998230487 558306.23499999998603016, 435823 558343))",1830,2600,NZ35588303,NZ35588305,GRV,150,,Z,1955,150,2.6,Z,C,,STE-S025776
"MultiLineString ((435824.6000000000349246 558261.40700000000651926, 435821.09299999999348074 558274.08200000005308539))",,,NZ35588206,NZ3558P008,GRV,100,,,,,,,C,,STE-S1262319
"MultiLineString ((435456.55599999998230487 558342.55099999997764826, 435434.32000000000698492 558346.64000000001396984))",,,NZ3558P058,NZ3558P057,GRV,,,Z,,,,Z,S,,STE-S1322697
"MultiLineString ((435823 558343, 435855.5 558407))",1310,1910,NZ35588401,NZ35588303,GRV,150,,VC,1955,150,1.8,Z,C,,STE-S025778
"MultiLineString ((435453.5659999999916181 558323.30500000005122274, 435459.74699999997392297 558339.85699999995995313))",,,NZ3558P046,NZ3558P047,GRV,,,Z,,,,Z,F,,STE-S1322685
"MultiLineString ((435449.34700000000884756 558266.50699999998323619, 435450.96299999998882413 558228.05299999995622784))",,,NZ3558P078,NZ3558P077,GRV,,,Z,,,,Z,S,,STE-S1322710
"MultiLineString ((435652.69599999999627471 558397.69299999997019768, 435654.48300000000745058 558404.39899999997578561))",,,NZ3558AT06,NZ3558P013,GRV,,,,,,,Z,C,,STE-S1305518
"MultiLineString ((435647.65799999999580905 558418.69999999995343387, 435673 558426))",,910,NZ35586404,NZ35586403,GRV,150,,Z,1925,150,0.9,Z,C,,STE-S025758
"MultiLineString ((435673 558426, 435723.07500000001164153 558432.4719999999506399))",,,NZ35587407,NZ35586404,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025766
"MultiLineString ((435654.48300000000745058 558404.39899999997578561, 435656.42399999999906868 558411.67900000000372529))",,,NZ35586405,NZ3558AT06,GRV,100,,,,,,Z,C,,STE-S1305521
"MultiLineString ((435695.5 558355.5, 435742.25 558362))",,,NZ35587301,NZ35586304,GRV,150,,Z,1955,150,2,Z,C,,STE-S025765
"MultiLineString ((435679 558286, 435749.5 558296))",,,NZ35587201,NZ35586202,GRV,150,,Z,1955,150,2,Z,C,,STE-S025764
"MultiLineString ((435709.41100000002188608 558428.74600000004284084, 435712.89199999999254942 558429.17700000002514571))",,,NZ3558AT03,NZ3558P001,GRV,100,,,,,,,C,,STE-S1304885
"MultiLineString ((435706.5 558414.5, 435734 558423.75))",,,NZ35587402,NZ35587401,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S008250
"MultiLineString ((435767 558258, 435713.3620000000228174 558242.10400000005029142))",,,NZ35587207,NZ35587202,GRV,,,Z,1935,225,1.8,Z,C,,STE-S025743
"MultiLineString ((435712.89199999999254942 558429.17700000002514571, 435720.94599999999627471 558430.13100000005215406))",,,NZ35587406,NZ3558AT03,GRV,100,,,,,,,C,,STE-S1304886
"MultiLineString ((435720.94599999999627471 558430.13100000005215406, 435723.07500000001164153 558432.4719999999506399))",,,NZ35587407,NZ35587406,GRV,150,,,,,,,C,,STE-S1304888
"MultiLineString ((435721.4340000000083819 558426.4220000000204891, 435720.94599999999627471 558430.13100000005215406))",,,NZ35587406,NZ3558P009,GRV,100,,,,,,,C,,STE-S1304884
"MultiLineString ((435723.07500000001164153 558432.4719999999506399, 435746.5 558435.5))",,,NZ35587403,NZ35587407,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S1304887
"MultiLineString ((435721.67499999998835847 558424.20200000004842877, 435721.4340000000083819 558426.4220000000204891))",,,NZ3558P009,NZ3558P004,GRV,100,,,,,,,C,,STE-S1304883
"MultiLineString ((435742.25 558362, 435804 558370.5))",2140,,NZ35588304,NZ35587301,GRV,225,,Z,1955,225,2.1,Z,C,,STE-S025777
"MultiLineString ((435734 558423.75, 435746.5 558435.5))",,,NZ35587403,NZ35587402,GRV,150,,Z,1955,150,2,Z,C,,STE-S008251
"MultiLineString ((436149.77299999998649582 558748.22800000000279397, 436166.93499999999767169 558736.01199999998789281))",1780,2100,NZ36581703,NZ36581702,GRV,225,,VC,1925,225,2,Z,C,,STE-S025518
"MultiLineString ((435948.5 558794, 436110 558736))",,2320,NZ3658HD01,NZ3558HD03,GRV,225,,Z,,,,Z,S,,STE-S025223
"MultiLineString ((435964.5 558830, 435948.5 558794))",2310,1750,NZ3558HD03,NZ3558HD02,GRV,225,,VC,,,,Z,S,,STE-S007704
"MultiLineString ((436140.08500000002095476 558805.94400000001769513, 436149.77299999998649582 558748.22800000000279397))",,,NZ36581702,NZ36581804,GRV,225,,Z,1925,225,1.6,Z,C,,STE-S025836
"MultiLineString ((435728.5 558915.5, 435676.5 558827))",1810,3140,NZ35586801,NZ35587901,GRV,225,,VC,1945,225,2.5,Z,C,,STE-S007699
"MultiLineString ((436101.5 558867, 436140.08500000002095476 558805.94400000001769513))",,,NZ36581804,NZ36581801,GRV,225,,Z,1975,225,3.4,Z,C,,STE-S008006
"MultiLineString ((435879 558837, 435835.5 558856))",1940,1970,NZ35588801,NZ35588803,GRV,225,,VC,1955,225,2,Z,C,,STE-S025217
"MultiLineString ((436172 558855, 436231.5 558828))",,1220,NZ36582804,NZ36581803,GRV,225,,Z,1975,225,1.2,Z,C,,STE-S008013
"MultiLineString ((435835.5 558856, 435775.5 558887))",1800,1950,NZ35587801,NZ35588801,GRV,225,,VC,1955,225,1.9,Z,C,,STE-S025215
"MultiLineString ((436191.5 558894.5, 436172 558855))",,1270,NZ36581803,NZ36581802,GRV,225,,Z,1975,225,1.3,Z,C,,STE-S008007
"MultiLineString ((435775.5 558887, 435732.5 558917.25))",2820,1810,NZ35587902,NZ35587801,GRV,225,,VC,1945,225,1.6,Z,C,,STE-S007702
"MultiLineString ((436093 558929, 436101.5 558867))",,,NZ36581801,NZ36580903,GRV,225,,Z,1955,225,1.9,Z,C,,STE-S025520
"MultiLineString ((435732.5 558917.25, 435728.5 558915.5))",3000,2830,NZ35587901,NZ35587902,GRV,225,,VC,1945,225,2.8,Z,C,,STE-S025216
"MultiLineString ((435681.30099999997764826 558895.2780000000493601, 435688.50400000001536682 558904.31000000005587935))",,,NZ35586903,NZ35586803,GRV,225,,,,,,2000-2009,S,,STE-S1236945
"MultiLineString ((435631 558346.5, 435695.5 558355.5))",,,NZ35586304,NZ35586303,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025756
"MultiLineString ((435622 558312.5, 435754.98599999997531995 558332.67799999995622784))",1770,,NZ35587302,NZ35586306,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S008261
"MultiLineString ((435792.5 558554, 435910.5 558554.5))",2100,2550,NZ35589502,NZ35587501,GRV,1275,1125,BR,1915,1200,2.6,Z,C,,STE-S025218
"MultiLineString ((436050.49200000002747402 558494.99899999995250255, 436050.99200000002747402 558536.24300000001676381))",,,NZ36580503,NZ36580409,GRV,,,Z,,,,Z,S,,STE-S025320
"MultiLineString ((435910.5 558554.5, 435997 558559.5))",2060,2110,NZ35589501,NZ35589502,GRV,1275,1125,BR,1915,1200,2.1,Z,C,,STE-S007703
"MultiLineString ((435665.5 558559.5, 435792.5 558554))",2540,4300,NZ35587501,NZ35586501,GRV,1275,1125,BR,1915,1200,4.3,Z,C,,STE-S007700
"MultiLineString ((435663.75 558634, 435665.5 558559.5))",3200,1940,NZ35586501,NZ35586601,GRV,300,,VC,1945,300,4.2,Z,C,,STE-S025211
"MultiLineString ((435657 558560, 435665.5 558559.5))",4280,4150,NZ35586501,NZ35586502,GRV,1275,,CO,1995,1200,4.2,Z,C,,STE-S007696
"MultiLineString ((436065 558593, 436132 558595))",1970,2040,NZ36581501,NZ36580501,GRV,1320,1170,BR,1875,1200,2,Z,C,,STE-S025516
"MultiLineString ((435997 558559.5, 436065 558593))",2000,2080,NZ36580501,NZ35589501,GRV,1320,1170,BR,1915,1200,2.1,Z,C,,STE-S007708
"MultiLineString ((436179 558632.5, 436177.5 558607))",,,NZ36581601,NZ36581604,GRV,,,Z,1925,300,10,Z,C,,STE-S025517
"MultiLineString ((436132 558595, 436177.5 558607))",2100,2000,NZ36581601,NZ36581501,GRV,1320,1170,BR,1875,1200,2,Z,C,,STE-S008003
"MultiLineString ((435667 558732, 435663.75 558634))",1940,,NZ35586601,NZ35586701,GRV,300,,Z,1945,300,1.9,Z,C,,STE-S025212
"MultiLineString ((436171.66700000001583248 558691.21699999994598329, 436179 558632.5))",,1900,NZ36581604,NZ36581603,GRV,300,,Z,1925,300,1.9,Z,C,,STE-S025519
"MultiLineString ((436110 558736, 436134 558690))",,,NZ36581602,NZ3658HD01,GRV,225,,Z,,,,Z,S,,STE-S008004
"MultiLineString ((436134 558690, 436171.66700000001583248 558691.21699999994598329))",1700,,NZ36581603,NZ36581602,GRV,225,,Z,1925,300,1.8,Z,C,,STE-S008005
"MultiLineString ((435676.5 558827, 435667 558732))",,1820,NZ35586701,NZ35586801,GRV,300,,Z,1945,300,1.8,Z,C,,STE-S025213
"MultiLineString ((436166.93499999999767169 558736.01199999998789281, 436171.66700000001583248 558691.21699999994598329))",1780,2100,NZ36581603,NZ36581703,GRV,225,,VC,1925,225,2,Z,C,,STE-S008320
"MultiLineString ((435992.5 558457.5, 435995 558475.5))",1300,,NZ35589407,NZ35589406,GRV,225,,Z,1955,225,1.3,Z,C,,STE-S025794
"MultiLineString ((435988.25 558293.25, 435991 558214.5))",,,NZ35589202,NZ35589204,GRV,150,,Z,1925,150,1.8,Z,C,,STE-S008273
"MultiLineString ((436009.90100000001257285 558484.47900000005029142, 436008.49900000001071021 558530.24300000001676381))",,,NZ36580502,NZ36580411,GRV,,,Z,1955,150,1.2,Z,O,,STE-S1288892
"MultiLineString ((435995 558475.5, 436010 558481.25))",1150,1300,NZ36580402,NZ35589407,GRV,225,,Z,1955,225,1.2,Z,C,,STE-S007799
"MultiLineString ((436010 558411.75, 436010 558481.25))",1150,1100,NZ36580402,NZ36580405,GRV,150,,Z,1955,150,1.3,Z,C,,STE-S007769
"MultiLineString ((436010 558481.25, 436050.5 558491))",1350,1150,NZ36580401,NZ36580402,GRV,225,,Z,1955,225,1.2,Z,C,,STE-S025285
"MultiLineString ((436019 558413, 436016.96700000000419095 558470.14599999994970858))",,,NZ36580408,NZ36580404,GRV,150,,Z,1955,450,4.7,Z,C,,STE-S025288
"MultiLineString ((436011 558333.75, 436010 558411.75))",1100,,NZ36580405,NZ36580301,GRV,150,,Z,1955,150,1.1,Z,C,,STE-S007771
"MultiLineString ((436019 558362, 436019 558413))",,,NZ36580404,NZ36580302,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025287
"MultiLineString ((436016.96700000000419095 558470.14599999994970858, 436046.5 558479))",,,NZ36580403,NZ36580408,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025286
"MultiLineString ((436046.5 558479, 436050.5 558491))",1350,,NZ36580401,NZ36580403,GRV,225,,Z,1955,225,1.4,Z,C,,STE-S007768
"MultiLineString ((436023 558299, 436023 558243.5))",1350,,NZ36580203,NZ36580202,GRV,150,,Z,1945,150,1.4,Z,C,,STE-S007767
"MultiLineString ((436074.78700000001117587 558307.03200000000651926, 436075.83699999999953434 558263.28200000000651926))",,,NZ36580208,NZ36580305,GRV,225,,,,,,2010-2019,S,,STE-S1277308
"MultiLineString ((436051.5 558358.5, 436046.5 558479))",,1950,NZ36580403,NZ36580303,GRV,150,,Z,1955,150,2,Z,C,,STE-S007770
"MultiLineString ((435646 558479, 435657 558560))",3530,2770,NZ35586502,NZ35586401,GRV,450,,CO,1995,450,3.4,Z,C,,STE-S025220
"MultiLineString ((436076.59799999999813735 558296.73899999994318932, 436077.29800000000977889 558265.70400000002700835))",,,NZ36580209,NZ36580210,GRV,150,,,,,,2010-2019,F,,STE-S1277325
"MultiLineString ((435854 558311.25, 435869 558350))",1430,1200,NZ35588302,NZ35588301,GRV,150,,VC,1955,150,1.2,Z,C,,STE-S025775
"MultiLineString ((435821.09299999999348074 558274.08200000005308539, 435885 558284))",,,NZ35588204,NZ35588206,GRV,225,,Z,1905,225,1.8,Z,C,,STE-S025774
"MultiLineString ((435855.5 558407, 435914 558474))",1300,1350,NZ35589401,NZ35588401,GRV,225,,Z,1955,375,1.6,Z,C,,STE-S008274
"MultiLineString ((435869 558350, 435855.5 558407))",1160,1450,NZ35588401,NZ35588302,GRV,150,,VC,1955,150,1.4,Z,C,,STE-S025779
"MultiLineString ((435908.49499999999534339 558286.5, 435885 558284))",,,NZ35588204,NZ35589205,GRV,225,,Z,1925,225,1.8,Z,C,,STE-S008259
"MultiLineString ((435891 558346, 435869 558350))",1300,,NZ35588302,NZ35588306,GRV,150,,Z,1955,150,1.3,Z,C,,STE-S008260
"MultiLineString ((435914 558474, 435995 558475.5))",1300,1300,NZ35589407,NZ35589401,GRV,225,,Z,1955,225,1.4,Z,C,,STE-S008278
"MultiLineString ((435913.99900000001071021 558287.49600000004284084, 435936 558290))",,,NZ35589203,NZ35589206,GRV,225,,VC,1905,225,1.8,Z,C,,STE-S025789
"MultiLineString ((435921 558409.5, 435920 558457.5))",,,NZ35589402,NZ35589403,GRV,150,,Z,1955,150,2,Z,C,,STE-S008275
"MultiLineString ((435920 558457.5, 435914 558474))",1300,,NZ35589401,NZ35589402,GRV,225,,Z,1955,225,1.3,Z,C,,STE-S025790
"MultiLineString ((436010 558299.5, 435936 558290))",,,NZ35589203,NZ36580201,GRV,225,,VC,1925,225,1.8,Z,C,,STE-S025319
"MultiLineString ((435923.25 558337.5, 435921 558409.5))",,,NZ35589403,NZ35589301,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025791
"MultiLineString ((435948 558440.5, 435977 558438.5))",,,NZ35589405,NZ35589404,GRV,150,,Z,1955,150,2,Z,C,,STE-S025792
"MultiLineString ((435951 558350.5, 435948 558440.5))",,,NZ35589404,NZ35589302,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S008276
"MultiLineString ((435977 558438.5, 435992.5 558457.5))",,,NZ35589406,NZ35589405,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S025793
"MultiLineString ((435978.5 558365, 435977 558438.5))",,,NZ35589405,NZ35589303,GRV,150,,Z,1955,150,1.8,Z,C,,STE-S008277
"MultiLineString ((436181.5 558952, 436204 559012.5))",3680,,NZ36592002,NZ36581903,GRV,225,,Z,1955,150,3.4,Z,C,,STE-S025360
"MultiLineString ((436136 558976, 436181.5 558952))",,,NZ36581903,NZ36581902,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S025521
"MultiLineString ((435919 559007, 435952 558976))",,,NZ35589901,NZ35599002,GRV,225,,Z,1955,225,2,Z,C,,STE-S025221
"MultiLineString ((435952 558976, 436024 558966))",,,NZ36580901,NZ35589901,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S007709
"MultiLineString ((435901.5 559004, 435919 559007))",,,NZ35599002,NZ35599001,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S025818
"MultiLineString ((436067 559026.25, 436136 558976))",,,NZ36581902,NZ36590001,GRV,225,,Z,1955,225,2,Z,C,,STE-S007846
"MultiLineString ((435986.5 559041.5, 436067 559026.25))",,,NZ36590001,NZ35599004,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S025356
"MultiLineString ((435922.5 559052, 435919 559007))",,,NZ35599002,NZ35599003,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S008302
"MultiLineString ((436175 559073.5, 436134.5 559133))",,1650,NZ36591103,NZ36591001,GRV,225,,Z,1955,225,1.6,Z,C,,STE-S025327
"MultiLineString ((436166.5 559180.5, 436223 559071))",28700,25800,NZ36592001,NZ36591101,GRV,675,,CO,1955,750,10,Z,C,,STE-S007815
"MultiLineString ((435836.64899999997578561 559080.43700000003445894, 435858.33799999998882413 559101.9150000000372529))",,,NZ35598103,NZ35598002,GRV,1200,,CO,,,,Z,C,,STE-S1328595
"MultiLineString ((435976 559078, 436062 559129.5))",,,NZ36590101,NZ35599005,GRV,225,,Z,1955,225,1.8,Z,C,,STE-S007840
"MultiLineString ((435874.44400000001769513 559090.38100000005215406, 435843.33000000001629815 559151.47400000004563481))",,,NZ35598101,NZ35598001,GRV,300,,Z,1955,225,1.8,Z,C,,STE-S008294
"MultiLineString ((436087 559088, 436062 559129.5))",,1650,NZ36590101,NZ36590002,GRV,225,,Z,1955,225,1.6,Z,C,,STE-S025322
"MultiLineString ((436134.5 559133, 436089 559199.5))",,1680,NZ36590103,NZ36591103,GRV,225,,Z,1955,225,1.7,Z,C,,STE-S007806
"MultiLineString ((436062 559129.5, 436012 559215.5))",,,NZ36590201,NZ36590101,GRV,225,,Z,1955,225,2,Z,C,,STE-S007807
"MultiLineString ((436140.93499999999767169 558251.58900000003632158, 436129.04899999999906868 558260.80400000000372529))",,,NZ36581208,NZ36581206,GRV,150,,,,,,2010-2019,F,,STE-S1277326
"MultiLineString ((436136.73900000000139698 558277.13899999996647239, 436129.04899999999906868 558260.80400000000372529))",,,NZ36581208,NZ36581210,GRV,150,,,,,,2010-2019,F,,STE-S1277327
"MultiLineString ((436138.48499999998603016 558274.5590000000083819, 436129.16100000002188608 558256.82099999999627471))",,,NZ36581207,NZ36581209,GRV,225,,,,,,2010-2019,S,,STE-S1277317
"MultiLineString ((436139.53499999997438863 558249.00600000005215406, 436129.16100000002188608 558256.82099999999627471))",,,NZ36581207,NZ36581204,GRV,225,,,,,,2010-2019,S,,STE-S1277315
"MultiLineString ((436136.38500000000931323 558302.44400000001769513, 436138.48499999998603016 558274.5590000000083819))",,,NZ36581209,NZ36581311,GRV,225,,,,,,2010-2019,S,,STE-S1277318
"MultiLineString ((436134.75799999997252598 558300.82299999997485429, 436136.73900000000139698 558277.13899999996647239))",,,NZ36581210,NZ36581310,GRV,150,,,,,,2010-2019,F,,STE-S1277328
"MultiLineString ((436164 558393, 436196 558392.5))",2300,2150,NZ36581304,NZ36581307,GRV,225,,Z,1955,225,2.2,Z,C,,STE-S025298
"MultiLineString ((436148.5 558372, 436199.5 558375))",3820,3300,NZ36581301,NZ36581302,GRV,225,,VC,1905,225,3.6,Z,C,,STE-S007779
